path,kind,size_bytes,sha256,supports_questions
evidence/raw/dwv-locales-extracted/ro/translation.json,raw_command_output,9380,b42b357ccd4179cd20296bdf415ff274c62f9d64c3efbce4a16c001ec24a87e5,(supporting)
evidence/raw/dwv-locales-extracted/ru/overlays.json,raw_command_output,3116,a5cef83d2b00f2e916b307a591fc03a0604cb21d1c3d2d250b85ef1894b5bab1,(supporting)
evidence/raw/dwv-locales-extracted/ru/translation.json,raw_command_output,12331,c1afccb313fbd0667a07d3f562e88b8ff76fc6acc65d9a4fb1af6d043ab0fcc5,(supporting)
evidence/raw/dwv-locales-extracted/zh/overlays.json,raw_command_output,3113,ae7d17308a7dd14ff7038a481be4e16ce2ebdc5c480e2395be0bb78eff87831c,(supporting)
evidence/raw/dwv-locales-extracted/zh/translation.json,raw_command_output,8534,dd1ef99203d2cda5664f7403b29343ae7d1decc3686a158816574341c5a67ee6,(supporting)
evidence/raw/head.txt,raw_command_output,86,bd3035d261cefd958b8202ee2c4357566f6880efe32bcab40342071f8f6f04f3,Q1
evidence/raw/integration-test-tree-manifest.txt,raw_command_output,3802,fe17cf13f1b0f9bd1d7ee48e860ae442daca6b92bf98eb15dcaf59524427cf1b,Q74
evidence/raw/isolated-test-tree-manifest.txt,raw_command_output,21704,a6927052fbd0623eb9112aaaae7e60f0a9e9e9b37eecae54bb46b297b1d12c6c,Q75
evidence/raw/log-HEAD-to-upstream-master.txt,raw_command_output,16166,600e460cce28e545d73d8c46796c91171ce3f3af1c2838e3eb45a228c1fd2c31,Q1
evidence/raw/ls-tree-HEAD.txt,raw_command_output,976485,416bd6e31202c0ac878d7aade2883128520d96dfda6e887d7f9e05a95824c7bf,Q36
evidence/raw/ls-tree-upstream-master.txt,raw_command_output,982830,0212615159e02780542c340ac63d985881a8062f7f09fa994f321c3a488c49e5,Q36
evidence/raw/ls-tree-v8_2_0.txt,raw_command_output,976491,23d9b15dc177c6aaaf3d05ab56b53396cb448f002a32937e430708201d169268,Q36
evidence/raw/module-detail.json,raw_command_output,6054,4daeeb8dd51ce33f4bb8d54f5972e244cc11e7086ca7fe8a7629d716d9f60bb6,Q36;Q70
evidence/raw/numstat-HEAD-vs-upstream-master.txt,raw_command_output,21272,42c0f36d7f0967ddb93fe00aab02bab23a6d8bc5c0f44f62b5c52e7d218fb972,Q1
evidence/raw/numstat-HEAD-vs-v8_2_0.txt,raw_command_output,5820,5f8a7d44076458846d5bf184294445f990de63d9aed9ac30036d0177b54fb6b7,Q1
evidence/raw/q51-codecov-api-response.txt,raw_command_output,720,41a0ec2f827f9dc809e4deed4ef5a160d73d3588a7cd864ef92b9b03fb082b42,Q51
evidence/raw/q57-consumer-columns.txt,raw_command_output,868,1f835deca0969ef607e6986c41d9b764e4e24955eaf47bb9acd2b723f882b89b,Q57
evidence/raw/q57-generate_id-calls.txt,raw_command_output,472,5fbea0f5225d16dae8aee09a3908256d639ded18b5eba2ea1c1da22f3a80ad98,Q57
evidence/raw/q57-upgrade-documents-broad.txt,raw_command_output,8052,369b7ed6f4179dc34909b90fbe6f6b86234575fc8683a3aa6a248fabd7db4fcd,Q57
evidence/raw/q57-upgrade-insurance-companies-all.txt,raw_command_output,5560,dca9d245087361c9d1fd6a141db020fbdc6859ba1cbee3863dcd0aea77b6549d,Q57
evidence/raw/q72-file-list.txt,raw_command_output,302701,eeaee99e60392dff40a968d5961e552812904bdbee842d5715f4d50f359d776f,Q72
evidence/raw/q72-scanner-exclusions.txt,raw_command_output,70456,401325c3eb22becfcd7fca5a7883aa3a12bcede59397766ba123a55c686b47a4,Q72
evidence/raw/q72-scanner-output.json,raw_command_output,4685681,ea52cf9bceaaeb90b4b70963918246dd14d526b59f2828c7f19d1d10b01ddbb3,Q72
evidence/raw/react-consumer-search-hits.txt,raw_command_output,27049956,349b7405d1b90986e5efb3af17c3947f40bdf1ea4c56d632f333596c4dcebd42,(supporting)
evidence/raw/remaining-counts.tsv,raw_command_output,1345,74f32b96c627f07a640f482d7508893272ed0e9bba603323fec48a342b63c5aa,(supporting)
evidence/raw/security-crypto-database_encryption.txt,raw_command_output,256,9327f68c3af5b59f96c9bee5d195a5ba786199129cd48c161afb02afcb8dcc9b,Q69
evidence/raw/security-crypto-decryptFromFilesystem.txt,raw_command_output,4573,1587cbde04bd8645cf5adc7390fa60ad9dc4facca1ac034cc48f109d3b005ad7,Q69
evidence/raw/security-crypto-decryptStandard.txt,raw_command_output,6815,13be7ef92a164f38031e4c0828354ededb328bb3a90fc605b6d828132ebd536d,Q69
evidence/raw/security-crypto-drive_encryption.txt,raw_command_output,1220,f8aeeac06a2437a218cbeb4eb0387a251b77bcc45faf947367bbf1225898997c,Q69
evidence/raw/security-crypto-encryptForFilesystem.txt,raw_command_output,4650,4b8ca7056cd1f1b42acfa3506f605742ece4d861b5d920b3d6e8bdf56318d8a1,Q69
evidence/raw/security-crypto-encryptStandard.txt,raw_command_output,4405,ba40cbd8f1ce86dfcb5e116e0b450a0d746a96cd0f59e292245177ed5e72c213,Q69
